============= Kalman Filter Processing ===========
Initializing GenFit field
>>> Track = 263, hits = 48, fitted = 1, converged = 1, chi2 = 96.0117, ndf = 91, X2v = 1.05507
>>> Track = 264, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
>>> Track = 265, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 266, hits = 55, fitted = 1, converged = 1, chi2 = 110.017, ndf = 105, X2v = 1.04779
>>> Track = 267, hits = 55, fitted = 1, converged = 1, chi2 = 110.029, ndf = 105, X2v = 1.04789
>>> Track = 268, hits = 55, fitted = 1, converged = 1, chi2 = 110.017, ndf = 105, X2v = 1.04778
>>> Track = 269, hits = 55, fitted = 1, converged = 1, chi2 = 110.03, ndf = 105, X2v = 1.0479
>>> Track = 270, hits = 44, fitted = 1, converged = 1, chi2 = 88.0114, ndf = 83, X2v = 1.06038
>>> Track = 271, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04786
Skipping track 273 too many or too few hits 1
>>> Track = 274, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
>>> Track = 275, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 276, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
>>> Track = 277, hits = 55, fitted = 1, converged = 1, chi2 = 110.021, ndf = 105, X2v = 1.04782
>>> Track = 278, hits = 33, fitted = 1, converged = 1, chi2 = 66.0073, ndf = 61, X2v = 1.08209
>>> Track = 279, hits = 44, fitted = 1, converged = 1, chi2 = 88.0126, ndf = 83, X2v = 1.06039
>>> Track = 280, hits = 55, fitted = 1, converged = 1, chi2 = 110.02, ndf = 105, X2v = 1.04781
>>> Track = 281, hits = 13, fitted = 1, converged = 1, chi2 = 26.0018, ndf = 21, X2v = 1.23818
>>> Track = 282, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04787
>>> Track = 284, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
>>> Track = 285, hits = 37, fitted = 1, converged = 1, chi2 = 74.0077, ndf = 69, X2v = 1.07258
>>> Track = 286, hits = 15, fitted = 1, converged = 1, chi2 = 30.0027, ndf = 25, X2v = 1.20011
